id,title,short_title,api_uri,first_name,middle_name,last_name,suffix,date_of_birth,gender,party,leadership_role,twitter_account,facebook_account,youtube_account,govtrack_id,cspan_id,votesmart_id,icpsr_id,crp_id,google_entity_id,fec_candidate_id,url,rss_url,contact_form,in_office,cook_pvi,dw_nominate,ideal_point,seniority,next_election,total_votes,missed_votes,total_present,last_updated,ocd_id,office,phone,fax,state,district,at_large,geoid,missed_votes_pct,votes_with_party_pct,votes_against_party_pct
A000374,Representative,Rep.,https://api.propublica.org/congress/v1/members/A000374.json,Ralph,,Abraham,,1954-09-16,M,R,,RepAbraham,CongressmanRalphAbraham,,412630,76236,155414,21522,N00036633,/m/012dwd7_,H4LA05221,https://abraham.house.gov,https://abraham.house.gov/rss.xml,,True,R+15,0.541,,6,2020,907,331,0,2020-09-26 13:30:23 -0400,ocd-division/country:us/state:la/cd:5,417 Cannon House Office Building,202-225-8490,,LA,5,False,2205,36.49,94.92,4.9
A000370,Representative,Rep.,https://api.propublica.org/congress/v1/members/A000370.json,Alma,,Adams,,1946-05-27,F,D,,RepAdams,CongresswomanAdams,,412607,76386,5935,21545,N00035451,/m/02b45d,H4NC12100,https://adams.house.gov,https://adams.house.gov/rss.xml,,True,D+18,-0.466,,8,2020,907,26,0,2020-09-26 13:30:25 -0400,ocd-division/country:us/state:nc/cd:12,2436 Rayburn House Office Building,202-225-1510,,NC,12,False,3712,2.87,99.2,0.68
A000055,Representative,Rep.,https://api.propublica.org/congress/v1/members/A000055.json,Robert,B.,Aderholt,,1965-07-22,M,R,,Robert_Aderholt,RobertAderholt,RobertAderholt,400004,45516,441,29701,N00003028,/m/024p03,H6AL04098,https://aderholt.house.gov,https://aderholt.house.gov/rss.xml,,True,R+30,0.369,,24,2020,907,45,0,2020-09-26 13:30:22 -0400,ocd-division/country:us/state:al/cd:4,1203 Longworth House Office Building,202-225-4876,,AL,4,False,0104,4.96,93.57,6.32
A000371,Representative,Rep.,https://api.propublica.org/congress/v1/members/A000371.json,Pete,,Aguilar,,1979-06-19,M,D,,reppeteaguilar,reppeteaguilar,,412615,79994,70114,21506,N00033997,/m/0jwv0xf,H2CA31125,https://aguilar.house.gov,https://aguilar.house.gov/rss.xml,,True,D+8,-0.291,,6,2020,907,8,0,2020-09-26 13:30:24 -0400,ocd-division/country:us/state:ca/cd:31,109 Cannon House Office Building,202-225-3201,,CA,31,False,0631,0.88,97.32,2.56
A000372,Representative,Rep.,https://api.propublica.org/congress/v1/members/A000372.json,Rick,,Allen,,1951-11-07,M,R,,reprickallen,CongressmanRickAllen,,412625,62545,136062,21516,N00033720,/m/0127y9dk,H2GA12121,https://allen.house.gov,,,True,R+9,0.678,,6,2020,907,2,0,2020-09-26 13:30:22 -0400,ocd-division/country:us/state:ga/cd:12,2400 Rayburn House Office Building,202-225-2823,,GA,12,False,1312,0.22,92.31,7.58
A000376,Representative,Rep.,https://api.propublica.org/congress/v1/members/A000376.json,Colin,,Allred,,1983-04-15,M,D,,RepColinAllred,,,412828,,177357,,N00040989,/m/03d066b,H8TX32098,https://allred.house.gov,,,True,R+5,,,2,2020,907,29,0,2020-09-26 13:30:24 -0400,ocd-division/country:us/state:tx/cd:32,328 Cannon House Office Building,202-225-2231,,TX,32,False,4832,3.2,97.6,2.28
A000367,Representative,Rep.,https://api.propublica.org/congress/v1/members/A000367.json,Justin,,Amash,,1980-04-18,M,R,,,repjustinamash,repjustinamash,412438,1033767,105566,21143,N00031938,/m/0c00p_n,H0MI03126,https://amash.house.gov,https://amash.house.gov/rss.xml,,False,,0.654,,10,2020,430,0,5,2020-09-24 19:02:23 -0400,ocd-division/country:us/state:mi/cd:3,106 Cannon House Office Building,202-225-3831,,MI,3,False,2603,0.0,61.97,37.79
A000369,Representative,Rep.,https://api.propublica.org/congress/v1/members/A000369.json,Mark,,Amodei,,1958-06-12,M,R,,MarkAmodeiNV2,MarkAmodeiNV2,markamodeinv2,412500,62817,12537,21196,N00031177,/m/03bzdkn,H2NV02395,https://amodei.house.gov,https://amodei.house.gov/rss/news-releases.xml,,True,R+7,0.384,,10,2020,907,26,0,2020-09-26 13:30:22 -0400,ocd-division/country:us/state:nv/cd:2,104 Cannon House Office Building,202-225-6155,,NV,2,False,3202,2.87,92.33,7.56
A000377,Representative,Rep.,https://api.propublica.org/congress/v1/members/A000377.json,Kelly,,Armstrong,,1976-10-08,M,R,,RepArmstrongND,,,412794,,139338,,N00042868,/g/11hcszksh3,H8ND00096,https://armstrong.house.gov,,,True,R+16,,,2,2020,907,32,0,2020-09-26 13:30:22 -0400,ocd-division/country:us/state:nd/cd:1,1004 Longworth House Office Building,202-225-2611,,ND,At-Large,True,3800,3.53,93.19,6.69
A000375,Representative,Rep.,https://api.propublica.org/congress/v1/members/A000375.json,Jodey,,Arrington,,1972-03-09,M,R,,RepArrington,JodeyArrington,,412726,1016482,155685,21700,N00038285,/m/0g9_f_1,H6TX19099,https://arrington.house.gov,https://arrington.house.gov/feed/,,True,R+27,0.63,,4,2020,907,21,0,2020-09-26 13:30:22 -0400,ocd-division/country:us/state:tx/cd:19,1029 Longworth House Office Building,202-225-4005,,TX,19,False,4819,2.32,91.12,8.77
A000378,Representative,Rep.,https://api.propublica.org/congress/v1/members/A000378.json,Cynthia,,Axne,,1965-04-20,F,D,,RepCindyAxne,,,412772,,179226,,N00041104,/g/11fgktcgcb,H8IA03124,https://axne.house.gov,,,True,R+1,,,2,2020,907,17,0,2020-09-26 13:30:23 -0400,ocd-division/country:us/state:ia/cd:3,330 Cannon House Office Building,202-225-5476,,IA,3,False,1903,1.87,93.69,6.19
B001291,Representative,Rep.,https://api.propublica.org/congress/v1/members/B001291.json,Brian,,Babin,,1948-03-23,M,R,,RepBrianBabin,RepBrianBabin,,412655,44883,360,21551,N00005736,/m/010qgj35,H6TX02079,https://babin.house.gov,,,True,R+26,0.7,,6,2020,907,42,0,2020-09-26 13:30:22 -0400,ocd-division/country:us/state:tx/cd:36,2236 Rayburn House Office Building,202-225-1555,,TX,36,False,4836,4.63,91.37,8.52
B001298,Representative,Rep.,https://api.propublica.org/congress/v1/members/B001298.json,Don,,Bacon,,1963-08-16,M,R,,repdonbacon,RepDonBacon,,412713,103442,166299,21701,N00037049,/m/01311t71,H6NE02125,https://bacon.house.gov,,,True,R+4,0.403,,4,2020,907,1,0,2020-09-26 13:30:22 -0400,ocd-division/country:us/state:ne/cd:2,1024 Longworth House Office Building,202-225-4155,,NE,2,False,3102,0.11,88.2,11.69
B001307,Representative,Rep.,https://api.propublica.org/congress/v1/members/B001307.json,James,,Baird,,1945-06-04,M,R,,RepJimBaird,,,412777,,86013,,N00041954,/g/11gfd5wndr,H8IN04199,https://baird.house.gov,,,True,R+17,,,2,2020,907,7,0,2020-09-26 13:30:23 -0400,ocd-division/country:us/state:in/cd:4,532 Cannon House Office Building,202-225-5037,,IN,4,False,1804,0.77,96.08,3.81
B001306,Representative,Rep.,https://api.propublica.org/congress/v1/members/B001306.json,Troy,,Balderson,,1962-01-16,M,R,,RepBalderson,,,412747,,102781,,N00042194,/m/09ry4tm,H8OH12180,https://balderson.house.gov,,,True,R+7,,,4,2020,907,1,0,2020-09-26 13:30:23 -0400,ocd-division/country:us/state:oh/cd:12,1221 Longworth House Office Building,202-225-5355,,OH,12,False,3912,0.11,96.44,3.45
B001299,Representative,Rep.,https://api.propublica.org/congress/v1/members/B001299.json,Jim,,Banks,,1979-07-16,M,R,,RepJimBanks,RepJimBanks,,412702,89806,116801,21702,N00037185,/m/0j621nj,H6IN03229,https://banks.house.gov,,,True,R+18,0.637,,4,2020,907,5,0,2020-09-26 13:30:22 -0400,ocd-division/country:us/state:in/cd:3,1713 Longworth House Office Building,202-225-4436,,IN,3,False,1803,0.55,93.51,6.38
B001282,Representative,Rep.,https://api.propublica.org/congress/v1/members/B001282.json,Andy,,Barr,,1973-07-24,M,R,,RepAndyBarr,RepAndyBarr,RepAndyBarr,412541,61848,117290,21333,N00031233,/m/0ddc6r6,H0KY06104,https://barr.house.gov,,,True,R+9,0.492,,8,2020,907,19,0,2020-09-26 13:30:23 -0400,ocd-division/country:us/state:ky/cd:6,2430 Rayburn House Office Building,202-225-4706,,KY,6,False,2106,2.09,95.0,4.89
B001300,Representative,Rep.,https://api.propublica.org/congress/v1/members/B001300.json,Nanette,,Barragán,,1976-09-15,F,D,,RepBarragan,CongresswomanBarragan,,412687,104730,166270,21703,N00037019,/g/11bx55ybbz,H6CA44103,https://barragan.house.gov,https://barragan.house.gov/feed/,,True,D+35,-0.513,,4,2020,907,16,0,2020-09-26 13:30:24 -0400,ocd-division/country:us/state:ca/cd:44,1030 Longworth House Office Building,202-225-8220,,CA,44,False,0644,1.76,98.31,1.57
B001270,Representative,Rep.,https://api.propublica.org/congress/v1/members/B001270.json,Karen,,Bass,,1953-10-03,F,D,,RepKarenBass,RepKarenBass,RepKarenBass,412404,62502,28963,21110,N00031877,/m/027g9m6,H0CA33117,https://bass.house.gov,https://bass.house.gov/rss.xml,,True,D+37,-0.585,,10,2020,907,52,1,2020-09-26 13:30:24 -0400,ocd-division/country:us/state:ca/cd:37,2059 Rayburn House Office Building,202-225-7084,,CA,37,False,0637,5.73,98.12,1.76
B001281,Representative,Rep.,https://api.propublica.org/congress/v1/members/B001281.json,Joyce,,Beatty,,1950-03-12,F,D,,RepBeatty,RepJoyceBeatty,,412565,67294,2427,21352,N00033904,/m/03lcwb,H2OH03125,https://beatty.house.gov,https://beatty.house.gov/rss.xml,,True,D+19,-0.43,,8,2020,907,41,0,2020-09-26 13:30:25 -0400,ocd-division/country:us/state:oh/cd:3,2303 Rayburn House Office Building,202-225-4324,,OH,3,False,3903,4.52,99.19,0.69
B001287,Representative,Rep.,https://api.propublica.org/congress/v1/members/B001287.json,Ami,,Bera,,1965-03-02,M,D,,RepBera,RepAmiBera,repamibera,412512,1033636,120030,21304,N00030717,/m/0dgqnts,H0CA03078,https://bera.house.gov,https://bera.house.gov/rss.xml,,True,D+3,-0.232,,8,2020,907,3,0,2020-09-26 13:30:24 -0400,ocd-division/country:us/state:ca/cd:7,1727 Longworth House Office Building,202-225-5716,,CA,7,False,0607,0.33,98.12,1.77
B001301,Representative,Rep.,https://api.propublica.org/congress/v1/members/B001301.json,Jack,,Bergman,,1947-02-02,M,R,,RepJackBergman,RepJackBergman,RepJackBergman,412709,1020529,170172,21704,N00039533,/m/05b2l3v,H6MI01226,https://bergman.house.gov,,,True,R+9,0.428,,4,2020,907,18,0,2020-09-26 13:30:22 -0400,ocd-division/country:us/state:mi/cd:1,414 Cannon House Office Building,202-225-4735,,MI,1,False,2601,1.98,93.08,6.81
B001292,Representative,Rep.,https://api.propublica.org/congress/v1/members/B001292.json,Donald,,Beyer,,1950-06-20,M,D,,RepDonBeyer,RepDonBeyer,,412657,21141,1707,21554,N00036018,/m/053g16,H4VA08224,https://beyer.house.gov,,,True,R+6,-0.385,,6,2020,907,26,0,2020-09-26 13:30:25 -0400,ocd-division/country:us/state:va/cd:8,1119 Longworth House Office Building,202-225-4376,,VA,8,False,5108,2.87,98.98,0.91
B001302,Representative,Rep.,https://api.propublica.org/congress/v1/members/B001302.json,Andy,,Biggs,,1958-11-07,M,R,,RepAndyBiggsAZ,RepAndyBiggs,,412683,105145,28088,21705,N00039293,/m/0_1m23v,H6AZ05083,https://biggs.house.gov,https://biggs.house.gov/rss.xml,,True,R+15,0.882,,4,2020,907,19,0,2020-09-26 13:30:21 -0400,ocd-division/country:us/state:az/cd:5,1318 Longworth House Office Building,202-225-2635,,AZ,5,False,0405,2.09,80.11,19.77
B001257,Representative,Rep.,https://api.propublica.org/congress/v1/members/B001257.json,Gus,,Bilirakis,,1963-02-08,M,R,,RepGusBilirakis,GusBilirakis,RepGusBilirakis,412250,1022873,17318,20758,N00027462,/m/0dy3z1,H6FL09070,https://bilirakis.house.gov,https://bilirakis.house.gov/rss.xml,,True,R+8,0.405,,16,2020,907,30,0,2020-09-26 13:30:22 -0400,ocd-division/country:us/state:fl/cd:12,2227 Rayburn House Office Building,202-225-5755,,FL,12,False,1212,3.31,93.0,6.89
B001311,Representative,Rep.,https://api.propublica.org/congress/v1/members/B001311.json,Dan,,Bishop,,1964-07-01,M,R,,RepDanBishop,,,412844,,,,N00044335,/m/013bg9xz,H0NC09187,https://danbishop.house.gov/,,https://danbishop.house.gov/contact/email,True,R+8,,,2,2020,376,35,0,2020-09-26 13:30:22 -0400,ocd-division/country:us/state:nc/cd:9,132 Cannon House Office Building,202-225-1976,,NC,9,False,3709,9.31,94.36,5.64
B001250,Representative,Rep.,https://api.propublica.org/congress/v1/members/B001250.json,Rob,,Bishop,,1951-07-13,M,R,,RepRobBishop,RepRobBishop,CongressmanBishop,400029,1003621,50544,20357,N00025292,/m/02tn41,H2UT01094,https://robbishop.house.gov,https://robbishop.house.gov/rss.xml,,True,R+26,0.536,,18,2020,907,63,0,2020-09-26 13:30:22 -0400,ocd-division/country:us/state:ut/cd:1,123 Cannon House Office Building,202-225-0453,,UT,1,False,4901,6.95,92.36,7.52
B000490,Representative,Rep.,https://api.propublica.org/congress/v1/members/B000490.json,Sanford,D.,Bishop,Jr.,1947-02-04,M,D,,SanfordBishop,sanfordbishop,RepSanfordBishop,400030,26194,26817,29339,N00002674,/m/02554k,H2GA02031,https://bishop.house.gov,https://bishop.house.gov/rss.xml,,True,D+6,-0.282,,28,2020,907,28,0,2020-09-26 13:30:24 -0400,ocd-division/country:us/state:ga/cd:2,2407 Rayburn House Office Building,202-225-3631,,GA,2,False,1302,3.09,98.52,1.37
B000574,Representative,Rep.,https://api.propublica.org/congress/v1/members/B000574.json,Earl,,Blumenauer,,1948-08-16,M,D,,BlumenauerMedia,,RepBlumenauer,400033,43809,367,29588,N00007727,/m/033tw8,H6OR03064,https://blumenauer.house.gov,https://blumenauer.house.gov/rss.xml,,True,D+24,-0.427,,26,2020,907,11,0,2020-09-26 13:30:24 -0400,ocd-division/country:us/state:or/cd:3,1111 Longworth House Office Building,202-225-4811,,OR,3,False,4103,1.21,97.54,2.35
B001303,Representative,Rep.,https://api.propublica.org/congress/v1/members/B001303.json,Lisa,,Blunt Rochester,,1962-02-10,F,D,,RepLBR,Rep.BluntRochester,,412689,104772,173249,21706,N00038414,/g/11c328y56v,H6DE00206,https://bluntrochester.house.gov,,,True,D+6,-0.331,,4,2020,907,5,0,2020-09-26 13:30:25 -0400,ocd-division/country:us/state:de/cd:1,1519 Longworth House Office Building,202-225-4165,,DE,At-Large,True,1000,0.55,99.44,0.44
B001278,Representative,Rep.,https://api.propublica.org/congress/v1/members/B001278.json,Suzanne,,Bonamici,,1954-10-14,F,D,,RepBonamici,congresswomanbonamici,RepSuzanneBonamici,412501,63966,59641,21198,N00033474,/m/02q453x,H2OR01133,https://bonamici.house.gov,https://bonamici.house.gov/rss.xml,,True,D+9,-0.394,,10,2020,907,4,0,2020-09-26 13:30:24 -0400,ocd-division/country:us/state:or/cd:1,2231 Rayburn House Office Building,202-225-0855,,OR,1,False,4101,0.44,98.45,1.44
B001295,Representative,Rep.,https://api.propublica.org/congress/v1/members/B001295.json,Mike,,Bost,,1960-12-30,M,R,,RepBost,RepBost,,412629,76176,6302,21519,N00035420,/m/0kry42,H4IL12060,https://bost.house.gov,https://bost.house.gov/rss.xml,,True,R+5,0.274,,6,2020,907,92,0,2020-09-26 13:30:22 -0400,ocd-division/country:us/state:il/cd:12,1440 Longworth House Office Building,202-225-5661,,IL,12,False,1712,10.14,92.45,7.43
B001296,Representative,Rep.,https://api.propublica.org/congress/v1/members/B001296.json,Brendan,,Boyle,,1977-02-06,M,D,,CongBoyle,CongressmanBoyle,,412652,76428,47357,21548,N00035307,/m/04f4fjk,H4PA13199,https://boyle.house.gov,https://boyle.house.gov/rss.xml,,True,D+25,-0.397,,6,2020,907,14,0,2020-09-26 13:30:24 -0400,ocd-division/country:us/state:pa/cd:2,1133 Longworth House Office Building,202-225-6111,,PA,2,False,4202,1.54,98.54,1.35
B000755,Representative,Rep.,https://api.propublica.org/congress/v1/members/B000755.json,Kevin,,Brady,,1955-04-11,M,R,,RepKevinBrady,kevinbrady,KBrady8,400046,45749,361,29760,N00005883,/m/03tq00,H6TX08100,https://kevinbrady.house.gov,,,True,R+28,0.524,,24,2020,907,55,0,2020-09-26 13:30:22 -0400,ocd-division/country:us/state:tx/cd:8,1011 Longworth House Office Building,202-225-4901,,TX,8,False,4808,6.06,94.19,5.69
B001308,Representative,Rep.,https://api.propublica.org/congress/v1/members/B001308.json,Anthony,,Brindisi,,1978-11-22,M,D,,RepBrindisi,,,412806,,135258,,N00041385,/m/0hhqfyc,H8NY22151,https://brindisi.house.gov,,,True,R+6,,,2,2020,907,4,0,2020-09-26 13:30:22 -0400,ocd-division/country:us/state:ny/cd:22,329 Cannon House Office Building,202-225-3665,,NY,22,False,3622,0.44,88.35,11.54
B001274,Representative,Rep.,https://api.propublica.org/congress/v1/members/B001274.json,Mo,,Brooks,,1954-04-29,M,R,,RepMoBrooks,RepMoBrooks,RepMoBrooks,412395,94888,121610,21193,N00030910,/m/0c3xdjf,H0AL05163,https://brooks.house.gov,https://brooks.house.gov/rss.xml,,True,R+18,0.649,,10,2020,907,11,0,2020-09-26 13:30:21 -0400,ocd-division/country:us/state:al/cd:5,2246 Rayburn House Office Building,202-225-4801,,AL,5,False,0105,1.21,86.39,13.5
B001284,Representative,Rep.,https://api.propublica.org/congress/v1/members/B001284.json,Susan,,Brooks,,1960-08-25,F,R,,SusanWBrooks,congresswomansusanwbrooks,SusanWBrooks,412539,623720,135988,21331,N00033495,/m/0jt8ng2,H2IN05082,https://susanwbrooks.house.gov,https://susanwbrooks.house.gov/rss.xml,,True,R+9,0.353,,8,2020,907,42,0,2020-09-26 13:30:22 -0400,ocd-division/country:us/state:in/cd:5,2211 Rayburn House Office Building,202-225-2276,,IN,5,False,1805,4.63,90.79,9.09
B001304,Representative,Rep.,https://api.propublica.org/congress/v1/members/B001304.json,Anthony,,Brown,,1961-11-21,M,D,,RepAnthonyBrown,RepAnthonyBrown,RepAnthonyBrown,412707,1029537,19344,21707,N00036999,/m/09v6fg,H6MD04209,https://anthonybrown.house.gov,,,True,D+28,-0.335,,4,2020,907,9,0,2020-09-26 13:30:24 -0400,ocd-division/country:us/state:md/cd:4,1323 Longworth House Office Building,202-225-8699,,MD,4,False,2404,0.99,98.44,1.45
B001285,Representative,Rep.,https://api.propublica.org/congress/v1/members/B001285.json,Julia,,Brownley,,1952-08-28,F,D,,RepBrownley,RepJuliaBrownley,RepJuliaBrownley,412516,79783,59904,21308,N00034254,/m/027z42z,H2CA00120,https://juliabrownley.house.gov,https://juliabrownley.house.gov/category/press-releases/feed/,,True,D+7,-0.286,,8,2020,907,16,0,2020-09-26 13:30:24 -0400,ocd-division/country:us/state:ca/cd:26,2262 Rayburn House Office Building,202-225-5811,,CA,26,False,0626,1.76,98.43,1.46
B001260,Representative,Rep.,https://api.propublica.org/congress/v1/members/B001260.json,Vern,,Buchanan,,1951-05-08,M,R,,VernBuchanan,CongressmanBuchanan,vernbuchanan,412196,1021626,66247,20709,N00027626,/m/0gtjsp,H6FL13148,https://buchanan.house.gov,https://buchanan.house.gov/rss.xml,,True,R+7,0.359,,14,2020,907,42,0,2020-09-26 13:30:22 -0400,ocd-division/country:us/state:fl/cd:16,2427 Rayburn House Office Building,202-225-5015,,FL,16,False,1216,4.63,90.1,9.78
B001297,Representative,Rep.,https://api.propublica.org/congress/v1/members/B001297.json,Ken,,Buck,,1959-02-16,M,R,,RepKenBuck,repkenbuck,,412619,78285,125319,21510,N00030829,/m/05zzjd2,S0CO00237,https://buck.house.gov,https://buck.house.gov/rss.xml,,True,R+13,0.756,,6,2020,907,108,0,2020-09-26 13:30:22 -0400,ocd-division/country:us/state:co/cd:4,2455 Rayburn House Office Building,202-225-4676,,CO,4,False,0804,11.91,89.28,10.59
B001275,Representative,Rep.,https://api.propublica.org/congress/v1/members/B001275.json,Larry,,Bucshon,,1962-05-31,M,R,,RepLarryBucshon,RepLarryBucshon,RepLarryBucshon,412427,61837,120335,21132,N00031227,/m/0dd9k_y,H0IN08114,https://bucshon.house.gov,,,True,R+15,0.404,,10,2020,907,27,0,2020-09-26 13:30:23 -0400,ocd-division/country:us/state:in/cd:8,2313 Rayburn House Office Building,202-225-4636,,IN,8,False,1808,2.98,96.1,3.78
B001305,Representative,Rep.,https://api.propublica.org/congress/v1/members/B001305.json,Ted,,Budd,,1971-10-21,M,R,,RepTedBudd,RepTedBudd,,412712,103513,171489,21708,N00039551,/g/11c2nmnsj0,H6NC13129,https://budd.house.gov,,,True,R+6,0.666,,4,2020,907,17,0,2020-09-26 13:30:22 -0400,ocd-division/country:us/state:nc/cd:13,118 Cannon House Office Building,202-225-4531,,NC,13,False,3713,1.87,91.38,8.5
B001309,Representative,Rep.,https://api.propublica.org/congress/v1/members/B001309.json,Tim,,Burchett,,1964-08-25,M,R,,RepTimBurchett,,,412817,,24379,,N00041594,/m/03yt07,H8TN02119,https://burchett.house.gov,,,True,R+20,,,2,2020,907,14,0,2020-09-26 13:30:22 -0400,ocd-division/country:us/state:tn/cd:2,1122 Longworth House Office Building,202-225-5435,,TN,2,False,4702,1.54,88.47,11.41
B001248,Representative,Rep.,https://api.propublica.org/congress/v1/members/B001248.json,Michael,C.,Burgess,,1950-12-23,M,R,,MichaelCBurgess,michaelcburgess,michaelcburgessmd,400052,1003620,50120,20355,N00025219,/m/03tq8_,H2TX26093,https://burgess.house.gov,https://burgess.house.gov/news/rss.aspx,,True,R+18,0.576,,18,2020,907,20,0,2020-09-26 13:30:22 -0400,ocd-division/country:us/state:tx/cd:26,2161 Rayburn House Office Building,202-225-7772,,TX,26,False,4826,2.21,92.61,7.27
B001286,Representative,Rep.,https://api.propublica.org/congress/v1/members/B001286.json,Cheri,,Bustos,,1961-10-17,F,D,,RepCheri,RepCheri,RepCheri,412537,63949,134964,21329,N00033390,/m/0jwwtrm,H2IL17071,https://bustos.house.gov,https://bustos.house.gov/category/press-release/feed/,,True,D+3,-0.238,,8,2020,907,1,0,2020-09-26 13:30:24 -0400,ocd-division/country:us/state:il/cd:17,1233 Longworth House Office Building,202-225-5905,,IL,17,False,1717,0.11,98.56,1.33
